単語,和訳,難易度,品詞,文脈,動画URL
accomplish,達成する,中級,動詞,"I want to accomplish my goals this year. (今年は目標を達成したい)",https://youtube.com/@VlingualChannel
resilient,回復力のある,上級,形容詞,"She is resilient in the face of challenges. (彼女は困難に直面しても回復力がある)",https://youtube.com/@VlingualChannel
embrace,受け入れる,中級,動詞,"We should embrace new opportunities. (新しい機会を受け入れるべきだ)",https://youtube.com/@VlingualChannel
profound,深い、深遠な,上級,形容詞,"That book had a profound impact on me. (その本は私に深い影響を与えた)",https://youtube.com/@VlingualChannel
enhance,向上させる,中級,動詞,"This will enhance your learning experience. (これはあなたの学習体験を向上させる)",https://youtube.com/@VlingualChannel
thrive,繁栄する,中級,動詞,"Plants thrive in sunlight. (植物は日光の中で繁栄する)",https://youtube.com/@VlingualChannel
eloquent,雄弁な,上級,形容詞,"She gave an eloquent speech. (彼女は雄弁なスピーチをした)",https://youtube.com/@VlingualChannel
venture,冒険する,中級,動詞,"Let's venture into new territory. (新しい領域に冒険しよう)",https://youtube.com/@VlingualChannel
abundant,豊富な,初級,形容詞,"There are abundant resources available. (利用可能な豊富な資源がある)",https://youtube.com/@VlingualChannel
cultivate,育てる,中級,動詞,"We need to cultivate good habits. (良い習慣を育てる必要がある)",https://youtube.com/@VlingualChannel
